我,3121
是,1735
承受,4
着,516
巨大,164
的,12139
精神压力,1
写,38
这篇,4
文字,31
，,13094
因为,325
今晚,1
就,694
完蛋,2
了,2651
。,5825
身无分文,1
唯一,27
能,225
延续,3
生命,56
药物,3
也,693
快,16
用,208
完,15
这种,270
折磨,23
再也,18
无法忍受,8
准备,58
从,491
这,411
扇,3
老虎,1
窗跳,1
到,540
下面,67
肮脏,7
街道,35
上去,15
不要,26
离不开,2
吗啡,2
以为,30
个,77
胆小鬼,1
或,166
败类,1
什么,388
当,81
你,102
读完,1
几页,2
仓促,2
而,511
后,170
虽然,199
不,426
可能,207
完全,130
搞懂,2
没准儿,63
会想,2
为什么,40
非,14
要,145
健忘,2
非要,1
去,333
死,50
呢,83
？,184

,2929
故事,56
发生,107
在,2422
茫茫,8
太平洋,12
最,156
浩瀚,7
无边,1
、,1010
人迹罕至,3
地方,284
当时,103
一艘,11
定期,2
邮轮,3
上,910
做,101
押运员,1
我们,1200
被,386
德国,8
海军,4
突击队,1
俘获,2
大战,3
刚刚开始,2
佬,2
还,353
没有,557
像,241
后来,109
那样,35
下作,1
2,40
所以,195
船只,2
法律,6
意义,24
战利品,3
而已,29
船员,12
享有,3
战俘,1
应有,4
待遇,2
鉴于,10
对,358
管束,2
很,361
松,3
抓,9
五天,3
便,126
一个,559
人偷,1
一条,69
小船,7
带足,1
水,14
和,1256
给养,8
成功,15
逃跑,12
最后,164
发现,324
自己,330
已经,435
漂泊,1
汪洋大海,1
获得,22
自由,9
但,987
根本,137
知道,200
身在,3
何处,8
从来,27
不是,130
称职,3
海员,11
只能,50
根据,38
太阳,19
星辰,2
方位,7
来,203
判断,25
大概,21
处于,11
赤道,1
以南,5
压根儿,11
所,171
处,19
位置,33
经度,1
多少,29
一眼,53
望去,15
既,61
看不到,31
岛屿,5
海岸,16
天气,4
一直,137
晴朗,2
我顶,1
炎炎,1
烈日,3
漫无目的,9
地,622
不知,41
漂了,1
天,15
等待,10
过往船只,2
或者,57
等,65
漂到,1
有人,66
居住,29
某块,1
陆地,58
船,20
孤立无援,2
处境,5
下,145
望,8
一望无际,6
大海,32
开始,182
绝望,8
睡着,3
时候,106
转机,2
说,281
具体,8
细节,40
怎么,60
搞不清楚,3
睡眠,3
时断时续,4
噩梦,33
不断,48
毕竟,6
昏睡不醒,1
最终,25
醒来,17
突然,105
发现自己,20
居然,42
半身,1
陷进,1
一片,52
地狱般,4
泥泞,5
又,533
污浊,1
泥淖,5
之中,62
放眼望去,2
周围,68
全是,11
千篇一律,5
起伏,5
不平,3
泥潭,2
不远处,9
搁,1
浅,8
会,363
认为,79
第一,9
感觉,79
意想不到,4
环境,13
变化,39
感到,75
惊讶,16
事实上,13
与其说是,2
不如说是,1
恐惧,107
无论是,7
空气,23
中,667
还是,190
都,793
弥漫着,10
一种,167
不祥,18
气息,11
让,478
不寒而栗,21
到处,52
臭,4
鱼烂虾,1
3,46
说不清,7
东西,436
腐尸,1
整片,1
区域,56
充满,61
腐臭味,1
也许,54
不该,9
指望,3
语言,43
形容,11
那种,116
无法形容,6
可怕,177
场面,32
只,80
万籁俱寂,5
无比,16
荒凉,30
中才,1
有,729
黑色,31
正是,51
地势,10
才,116
产生,73
想要,10
呕吐,1
恐惧感,19
炽热,1
挂,14
天上,3
可,45
眼里,20
万里无云,2
残酷,7
晴空,3
好像,64
反射,2
脚下,8
黑乎乎,14
颜色,7
变成,32
爬,73
搁浅,3
船时,1
意识,64
只有,113
说法,14
可以,188
解释,38
肯定,151
史无前例,1
火山爆发,1
把,439
海底,56
推上,2
海面,18
数百万年,5
埋藏,5
深水,3
部分,40
暴露,9
出来,119
身下,2
新,48
露出,15
地面,61
如此,68
广袤,10
即使,21
伸长,1
耳朵,9
听,57
不到,64
哪怕,12
微弱,21
浪涌,1
声,59
海鸟,1
掠食,2
死尸,3
影子,11
一连,4
几个,66
小时,32
坐在,16
船上,17
冥思苦想,2
由于,56
侧翻,1
西移,1
之后,186
船舱,4
里,479
形成,33
阴凉,1
随着,33
时间,103
推移,9
那么,63
黏了,1
不了,10
多久,11
变得,55
干硬,1
行走,12
当天,19
夜里,34
睡,13
得,202
很少,20
第二天,20
动手做,1
盛,4
食品,6
袋子,2
陆路,3
旅行,17
寻找,31
消失,45
逃生,5
方式,39
第三天,1
早上,16
干得,1
上面,75
轻松,3
尽管,70
鱼,26
味道,24
人,552
抓狂,3
心思,3
集中,6
重要,34
事情,36
不去,11
理会,2
微不足道,5
闹,1
心事,1
于是,83
我壮,2
胆子,4
出发,9
究竟,77
干什么,5
一天,27
往西,4
走,170
朝着,47
远处,45
明显,57
高于,3
波浪形,2
荒漠,1
隆起,13
山丘,17
晚上,40
露营,1
休息,10
第四天,1
仍然,56
方向,43
似乎,208
并,197
最初,32
看到,450
越,22
越近,2
傍晚,2
时分,9
终于,23
来到,72
山脚下,7
原来,28
比,93
看要,1
高,89
许多,130
中间,16
谷地,1
使,35
看上去,54
平地,3
更加,31
显眼,3
太,56
疲倦,6
往上爬,7
那天,9
梦,90
这么,48
荒唐,12
吓,32
出,103
一身,3
冷汗,3
刚刚,21
东方,7
地平线,11
升起,6
月亮,24
欲,3
亏,2
凸,2
显得,18
十分,7
诡异,100
决心,8
不再,23
这样,124
景象,41
见过,7
多次,7
心里,44
接受,16
月光,43
大白天,5
赶路,3
多么,18
不明智,3
烘烤,1
行动,24
消耗,1
更少,1
能量,4
的确,20
现在,160
觉得,96
力气,3
山坡,30
可是,46
日落,1
时,228
却,81
不敢,34
念头,14
拾起,1
行囊,1
山顶,23
进发,6
过,426
莫名其妙,32
原因,29
另一侧,3
往下,5
看,126
深不可测,14
深坑,9
峡谷,12
更,195
强烈,40
这些,571
处在,8
世界,143
边缘,24
永恒,8
黑夜,5
带来,47
无底,12
混沌,15
想起,79
《,186
失乐园,1
》,186
4,39
撒旦,4
黑暗,114
那,311
副,9
惨不忍睹,5
样子,46
一些,171
坡度,4
想象,60
陡,3
岩石,47
突出,8
岩架,1
为,118
提供,24
下脚,1
往下走,6
几百,1
英尺,120
非常,197
平缓,3
难以名状,16
冲动,7
驱使,12
艰难,14
顺着,8
下去,17
站,29
一块,26
较,25
谷坡,3
远远,18
注视,4
月,126
光照,7
幽暗,11
深渊,103
对面,10
形状,29
庞然大物,24
引起,33
注意,46
家伙,26
约,40
100,10
矗立,15
面前,21
苍白,7
辉映,2
通体,1
泛着,9
白光,2
很快,37
明白,16
不过,239
巨石,127
同时,69
外形,28
地处,4
给,155
印象,36
绝非,2
自然,18
越是,7
走近,8
它,224
说不出来,2
除了,52
体积,13
庞大,41
之外,42
还有,178
所处,7
这块,17
位于,77
混沌初开,2
时期,63
深海,4
无底洞,9
深信,2
匀称,1
奇石,1
某种,97
思维,19
生物,148
杰作,1
崇拜,25
偶像,13
神情恍惚,2
诚惶诚恐,4
科学家,6
考古学家,7
兴奋,21
与,337
喜悦,2
仔细观察,10
周边,9
此时此刻,104
已升,1
最高点,1
清晰,28
地挂,2
山谷,15
裂缝,19
陡坡,5
之上,26
借着,29
谷底,1
有水,1
涌动,4
两个,50
蜿蜒,6
流出,3
视线,18
差一点儿,9
拍到,1
站立,3
那个,201
流过,2
细浪,1
轻轻,12
拍打着,4
隐约,28
表面,28
刻有,9
铭文,12
粗糙,14
纹刻,2
认识,14
象形文字,34
书里,2
见,28
任何,110
而纹刻,1
表现,69
主要,41
人们,103
熟悉,52
鱼类,11
鳗鱼,1
类,12
章,3
龟甲,1
鲸,2
水生,1
有些,105
显然,107
现代人,3
海洋生物,2
遭,4
肢解,1
形态,39
海里,12
升,5
起来,136
雕像,22
画,27
着实,9
蒙,5
隔,3
宽阔,16
水面,12
清楚,46
一排,11
浅浮雕,21
浮雕,18
主题,4
足以,20
多雷,2
5,35
佩服,1
五体投地,1
雕刻,74
描绘,20
—,1703
至少,28
某,4
一类,4
刻画,2
成在,1
洞穴,53
中像,2
一样,251
嬉耍,1
石龛,1
顶礼膜拜,4
至于,48
面部,7
表情,18
详细,18
说明,27
只要,22
晕,2
连,75
爱伦,8
·,238
坡,10
6,30
布尔,3
沃,3
7,47
怪物,39
没什么,15
两样,7
手脚,3
长,29
蹼,2
嘴巴,2
宽,18
松垮,2
垮,3
挺,3
吓人,8
眼睛,50
鼓胀,2
呆滞,3
其他,176
特征,26
一想,3
就让,8
浑身,25
舒服,5
奇怪的是,15
背景,9
严重,37
不相称,1
比如,10
正在,42
杀死,3
本身,9
还要,26
大,95
一点,65
鲸鱼,2
如,19
所说,19
内容,53
怪诞,19
马上,29
只不过,55
某个,50
以,57
捕鱼,2
航海,4
为生,1
原始部落,2
神灵,23
这个,364
部落,4
一代,3
皮尔丹,2
8,28
尼安德,2
特人,3
9,20
始祖,1
诞生,5
纪元,2
以前,54
灭绝,10
大胆,4
人类学家,8
过去,102
肃然起敬,1
那里,77
陷入,13
沉思,2
则,56
投射,13
眼前,46
通道,40
身体,22
一扭,1
漆黑,35
滑动,2
一下,30
那家伙,1
体型,6
长得,20
独眼,6
巨人,8
波吕斐,11
摩斯,11
10,34
令人作呕,5
巨怪,2
张开,4
鳞,4
状,30
手臂,4
飞快,6
一边,60
不停,32
点头,1
发出,97
规律,5
声响,12
回想起来,8
疯,20
掉,24
记不清,4
如何,26
狂乱,3
斜坡,5
峭壁,7
恍恍惚惚,1
回到,52
敢肯定,2
八成,34
拼命,28
唱歌,1
壮胆,1
唱,3
怪异,21
笑,7
模模糊糊,7
记得,32
没多久,14
一场,30
暴风骤雨,1
随即,7
至,36
听到,107
轰隆,1
雷鸣声,2
声音,127
大自然,7
发狂,2
时才,2
脱离,2
险境,2
躺,35
旧金山,2
医院,2
美国,59
船长,31
茫茫大海,1
送到,11
说胡话,5
在意,5
的话,55
说起,14
救,5
；,90
坚持,7
一件,15
明知,3
相信,35
事,80
实在,17
必要,18
一次,95
找到,64
一位,19
著名,18
人种学,1
家,21
向,131
他,977
提出,10
关于,40
腓力,6
斯人,31
鱼神,2
“,591
大衮,23
”,543
11,18
问题,34
高兴,15
平庸之辈,1
帮不了,1
忙,5
追问,3
总是,46
尤其,29
曾,126
尝试,21
玩意儿,15
暂时,10
安慰,3
而且,175
不可救药,1
地上,26
瘾,1
结束,13
一切,55
记录,70
见闻,1
以供,2
各位,1
读者,20
参考,2
当成,11
茶余饭后,2
谈资,1
吧,25
常常,8
扪心自问,1
不会,74
纯粹,11
幻觉,25
仅仅,7
军舰,1
以后,43
毫无,19
遮挡,6
发高烧,1
胡言乱语,5
地问,1
回应,5
始终,12
极其可怕,2
历历在目,3
每当,13
想到,31
那些,298
无名,12
无姓,1
海,9
床上,9
匍匐,1
辗转,2
古老,105
石像,9
海水,9
浸泡,1
花岗岩,6
石碑,2
上刻,1
梦见,33
它们,332
浮出,3
乘风破浪,1
臭气熏天,3
魔爪,1
弱不禁风,3
饱受,9
战争,18
摧残,2
人类,133
残余,1
拉下水,1
下沉,5
将,72
趁着,1
宇宙,37
之际,3
上升,2
就要,9
门口,4
湿滑,3
躯体,26
朝,48
走来,1
！,114
只手,1
窗户,71
塞勒,16
菲斯,16
12,19
梦里,4
库,41
拉尼斯,32
坐落,7
城市,163
后面,39
一览无余,3
冰雪,10
覆盖,17
色彩,12
绚丽,1
帆船,17
正,31
扬帆,4
启航,7
驶向,5
海天,5
相接,3
遥远,37
天际,10
偶然,12
拥有,7
名字,26
醒,4
别人,20
叫,34
奇怪,94
家人,7
已,89
离世,1
剩下,17
孤苦伶仃,1
生活,89
千千万万,3
冷若冰霜,1
伦敦,9
跟,164
说话,23
提醒,7
曾经,58
谁,32
并不多,3
失去,20
钱财,1
土地,5
不在乎,5
喜欢,38
做梦,24
下来,74
不管,27
拿给,4
换来,1
嘲讽,4
不久,17
干脆,8
不写,1
愈,1
远离,8
愈加,2
离奇,15
挖空心思,1
白纸,1
本来,21
就是,195
徒劳无益,1
赶时髦,1
作家,14
思考问题,1
力争,1
身上,45
